,AREA,PERIMETER,ELEVATION
0,200305.31,547459.91,16.78
1,200305.31,547369.91,9.62
2,200305.31,547279.91,5.69
3,200305.31,547189.91,5.38
4,200395.31,547549.91,19.62
5,200395.31,547459.91,10.71
6,200395.31,547369.91,5.96
7,200395.31,547279.91,5.0
8,200395.31,547189.91,4.98
9,200395.31,547099.91,4.74
10,200395.31,547009.91,4.44
11,200485.31,547639.91,18.23
12,200485.31,547549.91,10.19
13,200485.31,547459.91,5.39
14,200485.31,547369.91,4.39
15,200485.31,547279.91,4.56
16,200485.31,547189.91,4.62
17,200485.31,547099.91,4.54
18,200485.31,547009.91,4.36
19,200485.31,546919.91,4.14
20,200485.31,546829.91,3.9
21,200575.31,547729.91,14.51
22,200575.31,547639.91,9.68
23,200575.31,547549.91,4.6
24,200575.31,547459.91,3.69
25,200575.31,547369.91,4.02
26,200575.31,547279.91,4.2
27,200575.31,547189.91,4.3
28,200575.31,547099.91,4.3
29,200575.31,547009.91,4.21
30,200575.31,546919.91,4.06
31,200575.31,546829.91,3.86
32,200575.31,546739.91,3.63
33,200665.31,547819.91,14.38
34,200665.31,547729.91,10.74
35,200665.31,547639.91,5.22
36,200665.31,547549.91,3.55
37,200665.31,547459.91,3.7
38,200665.31,547369.91,3.87
39,200665.31,547279.91,3.99
40,200665.31,547189.91,4.06
41,200665.31,547099.91,4.09
42,200665.31,547009.91,4.05
43,200665.31,546919.91,3.94
44,200665.31,546829.91,3.79
45,200665.31,546739.91,3.59
46,200665.31,546649.91,4.31
47,200665.31,546559.91,6.65
48,200755.31,547999.91,19.77
49,200755.31,547909.91,16.03
50,200755.31,547819.91,14.55
51,200755.31,547729.91,8.27
52,200755.31,547639.91,4.0
53,200755.31,547549.91,3.73
54,200755.31,547459.91,3.72
55,200755.31,547369.91,3.77
56,200755.31,547279.91,3.84
57,200755.31,547189.91,3.88
58,200755.31,547099.91,3.9
59,200755.31,547009.91,3.89
60,200755.31,546919.91,3.81
61,200755.31,546829.91,3.68
62,200755.31,546739.91,4.7
63,200755.31,546649.91,7.61
64,200755.31,546559.91,10.15
65,200755.31,546469.91,11.51
66,200755.31,546379.91,13.29
67,200845.31,548089.91,39.8
68,200845.31,547999.91,32.78
69,200845.31,547909.91,23.43
70,200845.31,547819.91,12.68
71,200845.31,547729.91,5.88
72,200845.31,547639.91,4.23
73,200845.31,547549.91,3.97
74,200845.31,547459.91,3.82
75,200845.31,547369.91,3.75
76,200845.31,547279.91,3.72
77,200845.31,547189.91,3.72
78,200845.31,547099.91,3.71
79,200845.31,547009.91,3.69
80,200845.31,546919.91,5.01
81,200845.31,546829.91,5.95
82,200845.31,546739.91,8.58
83,200845.31,546649.91,11.7
84,200845.31,546559.91,12.18
85,200845.31,546469.91,13.19
86,200845.31,546379.91,13.58
87,200845.31,546289.91,13.25
88,200845.31,546199.91,13.11
89,200935.31,548179.91,59.76
90,200935.31,548089.91,48.73
91,200935.31,547999.91,38.23
92,200935.31,547909.91,24.74
93,200935.31,547819.91,10.27
94,200935.31,547729.91,4.98
95,200935.31,547639.91,4.58
96,200935.31,547549.91,4.24
97,200935.31,547459.91,3.98
98,200935.31,547369.91,3.79
99,200935.31,547279.91,3.66
100,200935.31,547189.91,3.58
101,200935.31,547099.91,3.55
102,200935.31,547009.91,4.92
103,200935.31,546919.91,8.79
104,200935.31,546829.91,11.32
105,200935.31,546739.91,12.79
106,200935.31,546649.91,14.78
107,200935.31,546559.91,14.55
108,200935.31,546469.91,13.81
109,200935.31,546379.91,13.78
110,200935.31,546289.91,13.61
111,200935.31,546199.91,13.02
112,200935.31,546109.91,12.74
113,201025.31,548269.91,60.38
114,201025.31,548179.91,47.38
115,201025.31,548089.91,31.65
116,201025.31,547999.91,21.15
117,201025.31,547909.91,10.59
118,201025.31,547819.91,5.63
119,201025.31,547729.91,5.03
120,201025.31,547639.91,4.66
121,201025.31,547549.91,4.33
122,201025.31,547459.91,4.05
123,201025.31,547369.91,3.83
124,201025.31,547279.91,3.67
125,201025.31,547189.91,3.56
126,201025.31,547099.91,4.94
127,201025.31,547009.91,8.89
128,201025.31,546919.91,12.04
129,201025.31,546829.91,13.73
130,201025.31,546739.91,15.53
131,201025.31,546649.91,15.05
132,201025.31,546559.91,14.2
133,201025.31,546469.91,14.26
134,201025.31,546379.91,13.86
135,201025.31,546289.91,13.24
136,201025.31,546199.91,13.06
137,201025.31,546109.91,12.58
138,201025.31,546019.91,12.14
139,201025.31,545929.91,11.78
140,201115.31,548359.91,50.59
141,201115.31,548269.91,37.66
142,201115.31,548179.91,23.6
143,201115.31,548089.91,10.84
144,201115.31,547999.91,6.12
145,201115.31,547909.91,5.75
146,201115.31,547819.91,5.39
147,201115.31,547729.91,4.97
148,201115.31,547639.91,4.64
149,201115.31,547549.91,4.34
150,201115.31,547459.91,4.08
151,201115.31,547369.91,3.85
152,201115.31,547279.91,3.67
153,201115.31,547189.91,3.62
154,201115.31,547099.91,8.03
155,201115.31,547009.91,12.15
156,201115.31,546919.91,15.14
157,201115.31,546829.91,16.65
158,201115.31,546739.91,15.16
159,201115.31,546649.91,13.98
160,201115.31,546559.91,13.77
161,201115.31,546469.91,13.65
162,201115.31,546379.91,13.48
163,201115.31,546289.91,12.69
164,201115.31,546199.91,12.46
165,201115.31,546109.91,12.41
166,201115.31,546019.91,12.13
167,201115.31,545929.91,11.76
168,201115.31,545839.91,11.44
169,201115.31,545749.91,11.26
170,201205.31,548449.91,34.05
171,201205.31,548359.91,21.27
172,201205.31,548269.91,10.41
173,201205.31,548179.91,5.69
174,201205.31,548089.91,5.53
175,201205.31,547999.91,5.5
176,201205.31,547909.91,5.42
177,201205.31,547819.91,5.15
178,201205.31,547729.91,4.83
179,201205.31,547639.91,4.56
180,201205.31,547549.91,4.28
181,201205.31,547459.91,4.03
182,201205.31,547369.91,3.81
183,201205.31,547279.91,3.85
184,201205.31,547189.91,5.31
185,201205.31,547099.91,9.85
186,201205.31,547009.91,15.41
187,201205.31,546919.91,16.55
188,201205.31,546829.91,14.74
189,201205.31,546739.91,13.98
190,201205.31,546649.91,13.93
191,201205.31,546559.91,13.52
192,201205.31,546469.91,13.09
193,201205.31,546379.91,13.02
194,201205.31,546289.91,12.75
195,201205.31,546199.91,12.47
