법정동명,공시지가(원/㎡)
개포동,4112894.937
논현동,8772372.151
대치동,10052967.26
도곡동,6978478.758
삼성동,11583969.75
세곡동,1464428.123
수서동,3865802.881
신사동,13287411.82
압구정동,11237485.8
역삼동,10750438.1
율현동,1606932.258
일원동,4088283.459
자곡동,2208793.811
청담동,12208740.53
강일동,680844.5415
고덕동,1705563.096
길동,4032916.331
둔촌동,2546048.993
명일동,4192916.129
상일동,2272862.031
성내동,4184938.409
암사동,2774561.798
천호동,3959758.556
미아동,2504886.79
번동,2041035.781
수유동,2026095.675
우이동,1349267.107
가양동,3046768.59
개화동,378915.6358
공항동,2431682.507
과해동,168448.4127
내발산동,2826150.219
등촌동,3326498.033
마곡동,2529037.405
방화동,2192051.598
염창동,3224096.154
오곡동,166362.8223
오쇠동,204138.3948
외발산동,1154964.393
화곡동,2719885.366
남현동,3853952.447
봉천동,3179463.023
신림동,3140712.558
광장동,2503901.127
구의동,3624538.287
군자동,3449609.373
능동,3418136.999
자양동,3833753.899
중곡동,2940493.48
화양동,4712696.254
가리봉동,2874497.6
개봉동,2468555.434
고척동,2427483.963
구로동,2782706.153
궁동,1588131.983
신도림동,2596378.688
오류동,2169023.487
온수동,1756441.837
천왕동,1079047.978
항동,1188357.778
가산동,2373167.678
독산동,2482946.098
시흥동,2303986.428
공릉동,2164034.421
상계동,2399233.637
월계동,1740745.585
중계동,1870037.956
하계동,1659650.904
도봉동,1666814.737
방학동,2105891.383
쌍문동,1947910.329
창동,2384309.204
답십리동,3073782.808
신설동,3862400.804
용두동,3515409.736
이문동,2885691.11
장안동,3190830.745
전농동,2987374.967
제기동,2954250.58
청량리동,3103070.113
회기동,3343440.973
휘경동,2619285.819
노량진동,4487379.92
대방동,3255243.604
동작동,1348581.172
본동,2572937.127
사당동,3495527.296
상도1동,3737779.692
상도동,2944800.979
신대방동,3184674.222
흑석동,3781351.113
공덕동,4920012.713
구수동,4189517.857
노고산동,6114479.701
당인동,3790242.424
대흥동,4824166.772
도화동,6309281.865
동교동,7741048.227
마포동,4640017.058
망원동,4474980.213
상수동,5464123.223
상암동,2484035.459
서교동,7709681.755
성산동,3452400.208
신공덕동,4633295.218
신수동,4550751.34
신정동,2851062.937
아현동,5000890.221
연남동,4776962.412
염리동,4575167.608
용강동,6061447.391
중동,2736663.677
창전동,4707118.348
토정동,2934205.882
하중동,3502876.923
합정동,4848110.173
현석동,3009703.196
남가좌동,3140253.646
냉천동,4098724.403
대신동,3655474.32
대현동,9960139.344
미근동,4507585.085
봉원동,1622951.773
북가좌동,2675029.355
북아현동,4157475.956
신촌동,1929930.688
연희동,2395600.226
영천동,3628809.783
옥천동,3200523.574
창천동,6356076.449
천연동,3074511.72
충정로2가,4676778.09
충정로3가,3540586.543
합동,4467147.368
현저동,1255955.954
홍은동,2003775.92
홍제동,2606287.151
내곡동,905572.2787
반포동,7920872.961
방배동,5773030.209
서초동,9795138.607
신원동,1453454.63
양재동,5873326.14
염곡동,1475191.552
우면동,1823101.967
원지동,731084.1335
잠원동,7944870.782
금호동1가,3178315.924
금호동2가,3218974.131
금호동3가,3555239.094
금호동4가,3721250.58
도선동,5205696.921
마장동,3219653.725
사근동,2158886.131
상왕십리동,3286300.885
성수동1가,4419651.894
성수동2가,4961602.622
송정동,2582623.38
옥수동,2708397.274
용답동,3308984.034
응봉동,1936230.672
하왕십리동,3303761.093
행당동,3677998.254
홍익동,4175097.07
길음동,3631680.898
돈암동,1859489.335
동선동1가,7014114.943
동선동2가,3764685.604
동선동3가,3476366.384
동선동4가,4094157.399
동선동5가,3328288.782
동소문동1가,4428957.592
동소문동2가,4505311.041
동소문동3가,6053666.667
동소문동4가,4041198.851
동소문동5가,5817887.64
동소문동6가,4167666.667
동소문동7가,3368236.449
보문동1가,3829370.432
보문동2가,4463815.047
보문동3가,2550468.75
보문동4가,4480626.016
보문동5가,3818817.288
보문동6가,2708071.912
보문동7가,3910773.267
삼선동1가,2578401.322
삼선동2가,3213616.694
삼선동3가,3096210.932
삼선동4가,4039801.031
삼선동5가,3959560.971
상월곡동,2418169.122
석관동,2382153.745
성북동,2494066.14
성북동1가,3555756.897
안암동1가,3183694.484
안암동2가,3240118.667
안암동3가,2751508.696
안암동4가,3571537.778
안암동5가,3347921.941
장위동,2548748.393
정릉동,1953118.99
종암동,2357612.223
하월곡동,2891241.869
가락동,5583068.69
거여동,3724726.539
마천동,3150904.652
문정동,4844636.906
방이동,5561547.939
삼전동,5684931.368
석촌동,5882802.355
송파동,5987236.611
신천동,7258678.322
오금동,4606261.598
잠실동,6987679.213
장지동,1523573.63
풍납동,3100490.303
목동,3366470.465
신월동,2359254.874
신정동,3183323.293
당산동,2231074.667
당산동1가,3696936.901
당산동2가,4198849.65
당산동3가,4300848.556
당산동4가,3628841.727
당산동5가,3874441.25
당산동6가,3395428.097
대림동,2751869.534
도림동,2288762.509
문래동1가,3222730.392
문래동2가,3670782.051
문래동3가,3915430.389
문래동4가,3588635.045
문래동5가,2218452.83
문래동6가,3313243.902
신길동,2949062.242
양평동,350000
양평동1가,3963018.54
양평동2가,3417815.743
양평동3가,3134996.997
양평동4가,3940763.278
양평동5가,3527518.797
양평동6가,2966184.375
양화동,519597.9899
여의도동,9187669.202
영등포동,2671645.228
영등포동1가,4029831.522
영등포동2가,5091821.752
영등포동3가,11329121.05
영등포동4가,7875415.35
영등포동5가,6673931.631
영등포동6가,5107685.612
영등포동7가,4706636.98
영등포동8가,3746784.539
갈월동,6897201.845
남영동,9982836.957
도원동,5004614.035
동빙고동,5439831.314
동자동,7229474.964
문배동,4778355
보광동,5484387.896
산천동,3297140.741
서계동,4576449.557
서빙고동,3554090.395
신계동,5842229.219
신창동,3449696.809
용문동,5015799.328
용산동1가,2912725
용산동2가,3634172.388
용산동3가,6890620
용산동4가,2967454.545
용산동5가,5262716.814
용산동6가,2655125
원효로1가,4630911.368
원효로2가,5398815.345
원효로3가,4647055.215
원효로4가,4050358.5
이촌동,8611433.333
이태원동,6446884.011
주성동,4849478.261
청암동,3138459.406
청파동1가,3625121.392
청파동2가,4283413.709
청파동3가,4440802.803
한강로1가,9764066.298
한강로2가,11015965.37
한강로3가,10142830.65
한남동,6275939.051
효창동,4556951.604
후암동,3936964.105
갈현동,2749077.718
구산동,2326585.748
녹번동,2951347.214
대조동,3456090.686
불광동,2672195.565
수색동,2602602.572
신사동,2366901.962
역촌동,2777655.541
응암동,2883762.277
증산동,2627966.632
진관동,1049326.935
가회동,4711201.78
견지동,8280471.154
경운동,6476213.235
계동,4197772.687
공평동,14145050
관수동,13449054.55
관철동,26372748.12
관훈동,12731913.16
교남동,8893488.889
교북동,4874819.444
구기동,1664722.083
궁정동,3298889.024
권농동,2969277.778
낙원동,9686510.246
내수동,6680808.511
내자동,7609417.04
누상동,3288221.262
누하동,4587072.115
당주동,16417091.89
도렴동,15085309.86
돈의동,6544439.024
동숭동,4180200.18
명륜1가,3423503.882
명륜2가,6809498.024
명륜3가,2465161.42
명륜4가,6657762
묘동,11747961.72
무악동,3839965.189
봉익동,7617510.417
부암동,1281940.707
사간동,6651503.106
사직동,3055182.079
삼청동,4967198.67
서린동,26477419.75
세종로,21900774.01
소격동,5980394.191
송월동,3344131.579
송현동,5460363.636
수송동,9480818.681
숭인동,3519970.96
신교동,2851843.432
신문로1가,19026664.71
신문로2가,6847370.019
신영동,1845292.525
안국동,6285110.701
연건동,4441885.437
연지동,5314143.511
예지동,13956761.7
옥인동,3685777.363
와룡동,4650814.76
운니동,6063646.067
원남동,4244735.413
원서동,3629105.654
이화동,2922212.1
익선동,5766131.579
인사동,16069058.32
인의동,7291705.128
장사동,14273809.52
재동,6982532.338
적선동,10710567.57
종로1가,22104264.15
종로2가,36245802.92
종로3가,25822984.46
종로4가,17553666.67
종로5가,14151025.22
종로6가,7002046.154
중학동,9659620.69
창성동,4153525.424
창신동,3532993.251
청운동,2756905.423
청진동,14305407.73
체부동,5100487.738
충신동,3735344.741
통의동,5100049.669
통인동,5515168.269
팔판동,5633970.492
평동,7651530.769
평창동,2092884.806
필운동,5007440.108
행촌동,2034456.357
혜화동,4299594.46
홍지동,1826723.397
홍파동,2578885.714
화동,5358188.596
효자동,3718633.205
효제동,6810073.559
훈정동,2057833.333
광희동1가,6717874.286
광희동2가,4719721.022
남대문로1가,24045631.58
남대문로2가,29953725.49
남대문로3가,22620081.08
남대문로4가,20507862.07
남대문로5가,11731586.14
남산동1가,5363288.889
남산동2가,3990248.901
남산동3가,5003910.714
남창동,15687381.59
남학동,3798126.984
다동,21260062.5
만리동1가,3724128.205
만리동2가,5491095.178
명동1가,51543731.96
명동2가,68838842.47
무교동,24680985.51
무학동,6973645.161
묵정동,5151516.605
방산동,12186469.58
봉래동1가,9379766.871
봉래동2가,8360684.932
북창동,11599248.34
산림동,9509593.023
삼각동,23440148.94
서소문동,15570380.75
소공동,23098807.45
수표동,16332000
수하동,21067642.86
순화동,6303710.204
신당동,3737633.979
쌍림동,5308120.724
예관동,9052206.25
예장동,2710452.754
오장동,6540289.421
을지로1가,25187727.27
을지로2가,22994730.91
을지로3가,13467052.72
을지로4가,13637031.03
을지로5가,9321329.268
을지로6가,11624327.13
을지로7가,6391666.667
의주로1가,7749390.625
의주로2가,3909445.652
인현동1가,8329877.953
인현동2가,8334859.854
입정동,10408935.56
장교동,20028666.67
장충동1가,4396590.05
장충동2가,3282076.656
저동1가,13973905.98
저동2가,14420346.01
정동,6416233.503
주교동,9866730.825
주자동,3914553.846
중림동,4582801.003
초동,10522558.05
충무로1가,60748096
충무로2가,35926040.32
충무로3가,11696047.85
충무로4가,8871388.788
충무로5가,7986226.337
충정로1가,8599538.462
태평로1가,19603679.25
태평로2가,21223026.88
필동1가,7510274.286
필동2가,5338620.529
필동3가,3983670.637
황학동,5081681.367
회현동1가,8384444.484
회현동2가,5456253.617
회현동3가,7020014.493
흥인동,6931886.85
망우동,2250144.503
면목동,2505024.65
묵동,2600507.437
상봉동,2991077.257
신내동,1392418.185
중화동,2457063.243
