UFID,DIVI,QUAL,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612004C006184642d37557b45df,SUD001,SUQ000,C0062241,S2117964,"271",271.00000000000,"2016","1117068",오류2동,4504714.23794000037,"11530",구로구,"49302"
100037709007C0061a755e376fd8e4145,SUD001,SUQ000,C0062241,S2117964,"384",384.00000000000,"2016","1124055",마천1동,574808.66543399997,"11710",송파구,"21004"
100037709015C0061b5ec725f7ec74170,SUD001,SUQ000,C0062241,S2117964,"375",375.00000000000,"2016","1123076",세곡동,6362857.31926999893,"11680",강남구,"45180"
100037709005C006120c0eaa525aa4dd7,SUD001,SUQ000,C0062241,S2117964,"398",398.00000000000,"2016","1124069",문정2동,2240295.42571000010,"11710",송파구,"29926"
100037608070C00613bddf0f80e014b52,SUD001,SUQ000,C0062241,S2113950,"126",126.00000000000,"2016","1108081",성북동,2877749.82543999981,"11290",성북구,"17739"
100037608070C0061bb6679fe8f8e4840,SUD001,SUQ000,C0062241,S2113950,"126",126.00000000000,"2016","1108081",성북동,2877749.82543999981,"11290",성북구,"17739"
100037608070C00610ed4d09852dd4072,SUD001,SUQ000,C0062241,S2113950,"8",8.00000000000,"2016","1101061",종로1·2·3·4가동,2415358.50688999984,"11110",종로구,"8500"
100037608086C0061eea7a3cc256843f2,SUD001,SUQ000,C0062241,S2113950,"289",289.00000000000,"2016","1119061",양평1동,974937.70261200005,"11560",영등포구,"18240"
100037608086C00615fcb99d345834511,SUD001,SUQ000,C0062241,S2113950,"223",223.00000000000,"2016","1115051",목1동,1432068.37425000011,"11470",양천구,"32163"
100037608086C0061731a26a77a07458b,SUD001,SUQ000,C0062241,S2113950,"289",289.00000000000,"2016","1119061",양평1동,974937.70261200005,"11560",영등포구,"18240"
100037608088C0061d6cb4040bf4848c8,SUD001,SUQ000,C0062241,S2113950,"286",286.00000000000,"2016","1119054",여의동,8431315.69558000006,"11560",영등포구,"34479"
100037608086C0061788243ab31084918,SUD001,SUQ000,C0062241,S2113950,"223",223.00000000000,"2016","1115051",목1동,1432068.37425000011,"11470",양천구,"32163"
100037608086C006123a6bf9a7e6a44e8,SUD001,SUQ000,C0062241,S2113950,"223",223.00000000000,"2016","1115051",목1동,1432068.37425000011,"11470",양천구,"32163"
100037608099C006146f4732e748a4fdb,SUD001,SUQ000,C0062241,S2113950,"47",47.00000000000,"2016","1103073",한강로동,2868140.19148000004,"11170",용산구,"19382"
100037608063C00618ef8d60a438c464c,SUD001,SUQ000,C0062241,S2113950,"257",257.00000000000,"2016","1116071",방화2동,6153143.02840999980,"11500",강서구,"24354"
100037608063C00615b972d776f35409d,SUD001,SUQ000,C0062241,S2113950,"257",257.00000000000,"2016","1116071",방화2동,6153143.02840999980,"11500",강서구,"24354"
100037608062C00611dd08c3cc0c44f00,SUD001,SUQ000,C0062241,S2113950,"257",257.00000000000,"2016","1116071",방화2동,6153143.02840999980,"11500",강서구,"24354"
