UFID,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612007E00312875890709eb4d6a,E0032111,S2115489,"263",263.00000000000,"2016","1117054",구로3동,1039352.26950000005,"11530",구로구,"26579"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"264",264.00000000000,"2016","1117055",구로4동,524123.43186700001,"11530",구로구,"26721"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"265",265.00000000000,"2016","1117056",구로5동,1011733.38335000002,"11530",구로구,"33800"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"298",298.00000000000,"2016","1119071",대림2동,572120.04642599996,"11560",영등포구,"22177"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"299",299.00000000000,"2016","1119072",대림3동,921021.17833799997,"11560",영등포구,"29244"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"314",314.00000000000,"2016","1120069",신대방1동,674784.50396000000,"11590",동작구,"26841"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"315",315.00000000000,"2016","1120070",신대방2동,980256.90458400000,"11590",동작구,"20840"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"327",327.00000000000,"2016","1121065",신원동,544575.03955999995,"11620",관악구,"20077"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"329",329.00000000000,"2016","1121068",신사동,640641.33514600003,"11620",관악구,"26356"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"330",330.00000000000,"2016","1121069",신림동,536815.22107500001,"11620",관악구,"22682"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"332",332.00000000000,"2016","1121072",조원동,666117.27305199997,"11620",관악구,"19676"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612007E00312875890709eb4d6a,E0032111,S2115489,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018E003153da276bf25243d9,E0032111,S2114959,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612026E0031ac66bf0667304839,E0032111,S2112183,"281",281.00000000000,"2016","1118057",시흥1동,1522798.84878999996,"11545",금천구,"37144"
100037612026E0031ac66bf0667304839,E0032111,S2112183,"283",283.00000000000,"2016","1118059",시흥3동,1260660.49756999989,"11545",금천구,"11648"
100037612004E00316c6fd041cc66429a,E0032111,S2111938,"271",271.00000000000,"2016","1117068",오류2동,4504714.23794000037,"11530",구로구,"49302"
100037709001E0031a3762358dcf74c61,E0032111,S2111379,"353",353.00000000000,"2016","1122064",방배3동,2373349.17644000007,"11650",서초구,"22578"
