ALIAS,REMARK,NTFDATE,SGG_OID,COL_ADM_SE,MNUM,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
,,,"65","11110",14800001111020120001UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"65","11110",14800001111020120001UMB2000001001,"117",117.00000000000,"2016","1108064",정릉3동,3324279.88791000005,"11290",성북구,"17310"
,,,"49","11110",14800001111020110002UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"50","11110",14800001111020110003UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"51","11110",14800001111020110004UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
,,,"51","11110",14800001111020110004UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"52","11110",14800001111020110005UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
,,,"52","11110",14800001111020110005UMB2000001001,"195",195.00000000000,"2016","1113064",홍제3동,1191622.98043000000,"11410",서대문구,"16538"
,,,"52","11110",14800001111020110005UMB2000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연환경지구,,,"62","11110",14800001111020090007UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
자연환경지구,,,"62","11110",14800001111020090007UMB2000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연환경지구,,,"63","11110",14800001111020090008UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
자연환경지구,,,"63","11110",14800001111020090008UMB2000001001,"178",178.00000000000,"2016","1112052",불광1동,3122614.04577000020,"11380",은평구,"41244"
자연환경지구,,,"64","11110",14800001111020090009UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
자연환경지구,,,"64","11110",14800001111020090009UMB2000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"53","11110",14800001111020110002UMB1000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
,,,"53","11110",14800001111020110002UMB1000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"53","11110",14800001111020110002UMB1000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연환경지구,,,"54","11110",14800001111020090005UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
공원문화유산지구,공원문화유산지구,,"55","11110",14800001111020120001UMB9990001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
공원문화유산지구,공원문화유산지구,,"56","11110",14800001111020120003UMB9990001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
공원문화유산지구,공원문화유산지구,,"57","11110",14800001111020120002UMB9990001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"58","11110",14800001111020120001UMB1000001001,"4",4.00000000000,"2016","1101056",평창동,8941185.14410999976,"11110",종로구,"18820"
,,,"58","11110",14800001111020120001UMB1000001001,"117",117.00000000000,"2016","1108064",정릉3동,3324279.88791000005,"11290",성북구,"17310"
,,,"58","11110",14800001111020120001UMB1000001001,"118",118.00000000000,"2016","1108065",정릉4동,3568232.35925999982,"11290",성북구,"26995"
,,,"58","11110",14800001111020120001UMB1000001001,"178",178.00000000000,"2016","1112052",불광1동,3122614.04577000020,"11380",은평구,"41244"
,,,"58","11110",14800001111020120001UMB1000001001,"189",189.00000000000,"2016","1112071",진관동,11556551.00459999964,"11380",은평구,"57618"
,,,"58","11110",14800001111020120001UMB1000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
자연환경지구,,,"60","11110",14800001111020090004UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
자연환경지구,,,"60","11110",14800001111020090004UMB2000001001,"197",197.00000000000,"2016","1113066",홍은1동,1613942.53738999995,"11410",서대문구,"22981"
,,,"61","11110",14800001111020090006UMB2000001001,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
