MNUM,ALIAS,REMARK,NTFDATE,SHAPE_AREA,SHAPE_LEN,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area_2,GU_CODE,GU_NAME,POP
30000001111020120001UPB2000001001,,,,3227.35968529000,250.59739083400,"3",3.00000000000,"2016","1101055",부암동,2272861.94792000018,"11110",종로구,"10477"
30200001117020110013UPB2100001005,,,,180531.53493699999,7381.98463041000,"35",35.00000000000,"2016","1103053",남영동,1176908.85226000007,"11170",용산구,"8472"
30200001117020110013UPB2100001005,,,,180531.53493699999,7381.98463041000,"39",39.00000000000,"2016","1103063",이촌1동,2870622.19592999993,"11170",용산구,"29215"
30200001117020110013UPB2100001005,,,,180531.53493699999,7381.98463041000,"40",40.00000000000,"2016","1103064",이촌2동,1204647.73695999989,"11170",용산구,"9045"
30200001117020110013UPB2100001005,,,,180531.53493699999,7381.98463041000,"47",47.00000000000,"2016","1103073",한강로동,2868140.19148000004,"11170",용산구,"19382"
31400001147020110000UPB2100002001,,,,9966.88084864000,879.04168148300,"223",223.00000000000,"2016","1115051",목1동,1432068.37425000011,"11470",양천구,"32163"
31400001147020110000UPB2100002001,,,,9966.88084864000,879.04168148300,"240",240.00000000000,"2016","1115072",신정4동,996421.09213700006,"11470",양천구,"35893"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"227",227.00000000000,"2016","1115057",신월1동,621951.62641000003,"11470",양천구,"22087"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"228",228.00000000000,"2016","1115058",신월2동,606373.15648500004,"11470",양천구,"22626"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"230",230.00000000000,"2016","1115060",신월4동,469534.63325900002,"11470",양천구,"19121"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"231",231.00000000000,"2016","1115061",신월5동,637843.58451299998,"11470",양천구,"15600"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"234",234.00000000000,"2016","1115064",신정1동,747026.38426600001,"11470",양천구,"21545"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"238",238.00000000000,"2016","1115070",신정7동,1233234.70869000000,"11470",양천구,"30825"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"240",240.00000000000,"2016","1115072",신정4동,996421.09213700006,"11470",양천구,"35893"
31400001147020110000UPB2100001001,,,,133579.35394500001,14042.08083020000,"259",259.00000000000,"2016","1116073",화곡1동,1196882.06562000001,"11500",강서구,"54801"
31400001147020110000UPB2100003001,,,,9151.34735221000,491.26952393200,"227",227.00000000000,"2016","1115057",신월1동,621951.62641000003,"11470",양천구,"22087"
31400001147020110000UPB2100003001,,,,9151.34735221000,491.26952393200,"230",230.00000000000,"2016","1115060",신월4동,469534.63325900002,"11470",양천구,"19121"
31400001147020110000UPB2100004001,,,,9421.55848139000,450.73052817700,"230",230.00000000000,"2016","1115060",신월4동,469534.63325900002,"11470",양천구,"19121"
31500001150020110014UPB2000418001,화곡1지구,,,72348.43206560002,2877.61286614000,"242",242.00000000000,"2016","1116052",등촌1동,650269.28653399996,"11500",강서구,"23595"
31500001150020110014UPB2000418001,화곡1지구,,,72348.43206560002,2877.61286614000,"244",244.00000000000,"2016","1116054",등촌3동,1059596.79053000011,"11500",강서구,"32929"
31500001150020110014UPB2000418001,화곡1지구,,,72348.43206560002,2877.61286614000,"249",249.00000000000,"2016","1116061",화곡6동,1037160.70088000002,"11500",강서구,"25067"
31500001150020110014UPB2000418002,화곡1지구,,,29628.30705800000,3071.81903203000,"241",241.00000000000,"2016","1116051",염창동,1731595.85248999996,"11500",강서구,"42025"
31500001150020110014UPB2000418002,화곡1지구,,,29628.30705800000,3071.81903203000,"242",242.00000000000,"2016","1116052",등촌1동,650269.28653399996,"11500",강서구,"23595"
31500001150020110014UPB2000418002,화곡1지구,,,29628.30705800000,3071.81903203000,"252",252.00000000000,"2016","1116065",가양2동,823277.99940500001,"11500",강서구,"15413"
31500001150020110014UPB2000418002,화곡1지구,,,29628.30705800000,3071.81903203000,"253",253.00000000000,"2016","1116066",가양3동,473883.76419800002,"11500",강서구,"16445"
31500001150020110014UPB2000418003,화곡1지구,,,977.52816724000,135.61327849400,"249",249.00000000000,"2016","1116061",화곡6동,1037160.70088000002,"11500",강서구,"25067"
31500001150020110014UPB2000418004,화곡1지구,,,7766.61169494000,355.48557732300,"245",245.00000000000,"2016","1116055",화곡본동,971799.30749799998,"11500",강서구,"36127"
