OBJECTID,GU_NAM,F_SHIM,F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,TYPE,OBJECTID_1,OBJECTID_2,BASE_YEAR,ADM_CD_2,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
"275",강북구,0.02,2022년 8.8 ~17. 호우,114.53,3876.00,"1130510400","20220808","20220808","18","23",내수침수,서울특별시 강북구 우이동 296-1,"2022","2022",주택,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
"223",강북구,0.02,2022년 8.8 ~17. 호우,118.05,2188.00,"1130510400","20220808","20220808","18","23",내수침수,서울특별시 강북구 우이동 299-2,"2022","2022",주택,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
"246",강북구,0.02,2022년 8.8 ~17. 호우,129.55,45287.00,"1130510400","20220808","20220808","18","23",내수침수,서울특별시 강북구 우이동 산8-15,"2022","2022",주택,"142",142.00000000000,"2016","1109074",우이동,10583023.91239999980,"11305",강북구,"21497"
"4253",영등포구,0.30,2022년 8.8 ~17. 호우,10.18,53.00,"1156010400","20220808","20220810","20","24",내수침수,서울특별시 영등포구 영등포동3가 13-7,"2022","2022",상가,"301",301.00000000000,"2016","1119074",영등포동,1371590.84297000011,"11560",영등포구,"26964"
"301",강북구,0.02,2022년 8.8 ~17. 호우,75.48,105.00,"1130510100","20220808","20220808","18","23",내수침수,서울특별시 강북구 미아동 258-241,"2022","2022",주택,"139",139.00000000000,"2016","1109071",송중동,1075002.90571000008,"11305",강북구,"29106"
"204",강북구,0.02,2022년 8.8 ~17. 호우,51.27,181.00,"1130510100","20220808","20220808","18","23",내수침수,서울특별시 강북구 미아동 258-224,"2022","2022",주택,"139",139.00000000000,"2016","1109071",송중동,1075002.90571000008,"11305",강북구,"29106"
"104",중랑구,0.02,2022년 8.8 ~17. 호우,19.00,99.36,"1126010400","20220818","20220818","8","9",내수침수,묵동지구,"2022","2022",주택,"103",103.00000000000,"2016","1107064",묵1동,1237485.07183000003,"11260",중랑구,"36120"
"4692",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,306.45,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 951-3,"2022","2022",주택,"297",297.00000000000,"2016","1119070",대림1동,498611.82468700001,"11560",영등포구,"16686"
"4693",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,356.66,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 952-7,"2022","2022",주택,"297",297.00000000000,"2016","1119070",대림1동,498611.82468700001,"11560",영등포구,"16686"
"4694",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,986.23,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 951-4,"2022","2022",주택,"295",295.00000000000,"2016","1119068",신길6동,678990.26228499995,"11560",영등포구,"19675"
"4694",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,986.23,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 951-4,"2022","2022",주택,"297",297.00000000000,"2016","1119070",대림1동,498611.82468700001,"11560",영등포구,"16686"
"4694",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,986.23,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 951-4,"2022","2022",주택,"314",314.00000000000,"2016","1120069",신대방1동,674784.50396000000,"11590",동작구,"26841"
"4695",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,766.25,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 952-6,"2022","2022",주택,"297",297.00000000000,"2016","1119070",대림1동,498611.82468700001,"11560",영등포구,"16686"
"4696",영등포구,0.30,2022년 8.8 ~17. 호우,14.70,114.21,"1156013300","20220808","20220810","20","24",내수침수,서울특별시 영등포구대림동 952-10,"2022","2022",주택,"297",297.00000000000,"2016","1119070",대림1동,498611.82468700001,"11560",영등포구,"16686"
"4254",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,114.25,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-14,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4255",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,115.76,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-15,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4256",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,105.60,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-23,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4257",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,110.35,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-24,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4258",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,84.32,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-25,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4259",영등포구,0.30,2022년 8.8 ~17. 호우,15.30,88.36,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-29,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4260",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,116.48,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-20,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4261",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,109.21,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-22,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"4262",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,103.25,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 442-31,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"361",도봉구,0.30,2022년 8.8 ~17. 호우,27.44,145.29,"1132010600","20220808","20220809","18","20",내수침수,서울특별시 도봉구 방학동 659-24,"2022","2022",주택,"149",149.00000000000,"2016","1110056",방학2동,1091985.45072000008,"11320",도봉구,"21381"
"54",용산구,0.10,2022년 8.8 ~17. 호우,22.61,186.01,"1117010400","20220808","20220809","21","05",내수침수,서울특별시 용산구 한강로2가 2-194,"2022","2022",주택,"47",47.00000000000,"2016","1103073",한강로동,2868140.19148000004,"11170",용산구,"19382"
"359",도봉구,0.30,2022년 8.8 ~17. 호우,25.97,151.67,"1132010600","20220808","20220809","18","20",내수침수,서울특별시 도봉구 방학동 647-43,"2022","2022",주택,"148",148.00000000000,"2016","1110055",방학1동,1040065.40572000004,"11320",도봉구,"30389"
"360",도봉구,0.30,2022년 8.8 ~17. 호우,27.30,174.57,"1132010600","20220808","20220809","18","20",내수침수,서울특별시 도봉구 방학동 647-3,"2022","2022",주택,"148",148.00000000000,"2016","1110055",방학1동,1040065.40572000004,"11320",도봉구,"30389"
"358",도봉구,0.30,2022년 8.8 ~17. 호우,26.13,107.68,"1132010600","20220808","20220809","18","20",내수침수,서울특별시 도봉구 방학동 648-19,"2022","2022",주택,"148",148.00000000000,"2016","1110055",방학1동,1040065.40572000004,"11320",도봉구,"30389"
"1390",영등포구,0.30,2022년 8.8 ~17. 호우,15.30,142.79,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 443-22,"2022","2022",주택,"294",294.00000000000,"2016","1119067",신길5동,494289.91498000000,"11560",영등포구,"11115"
"362",도봉구,0.30,2022년 8.8 ~17. 호우,28.24,145.47,"1132010600","20220808","20220809","18","20",내수침수,서울특별시 도봉구 방학동 642-14,"2022","2022",주택,"149",149.00000000000,"2016","1110056",방학2동,1091985.45072000008,"11320",도봉구,"21381"
"363",도봉구,0.30,2022년 8.8 ~17. 호우,31.53,252.10,"1132010600","20220808","20220809","18","20",내수침수,서울특별시 도봉구 방학동 622-27,"2022","2022",주택,"149",149.00000000000,"2016","1110056",방학2동,1091985.45072000008,"11320",도봉구,"21381"
"4387",영등포구,0.30,2022년 8.8 ~17. 호우,17.50,907.02,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구도림동 23-25,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1833",영등포구,0.30,2022년 8.8 ~17. 호우,21.55,203.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 114-11,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1859",영등포구,0.30,2022년 8.8 ~17. 호우,21.45,186.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 114-13,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
